CRS,TIPLOC,Notes
AGR,,"Demand but no services, closed mid 2019, maybe merge with Meridian Water?"
ANY,ANERLEY,
BPC,PENYCHN,
BRT,BARLSOP,Replacement Bus Services at Present
CAW,CNDAW,
CLJ,CLPHMJM,
EBB,EBSFLTI,
EBW,EBWVTN,
FAM,FAMBDGE,
FAR,FRNDNLT,
HRW,HROW,
HWA,HTRBUS3,
IBM,,"Demand but no services, closed late 2018, maybe merge with Branchton?"
LBG,LNDNBDE,
LON,LRDGFD,
LSP,LVRPSPY,
NTB,,"Demand but no services, closed 2004, then was a replacement bus but discontinued in early 2019, maybe merge with Stone?"
RBS,,"Demand but no services, closed late 2018, maybe merge with Redcar Central?"
SFA,STFORDI,
SMC,,"Demand but no services, closed mid 2019, maybe merge with Okehampton (N.B. Okehampton Parkway in future)?"
VIC,VICTRIC,
VXH,VAUXHLM,
WAT,WATRLMN,
WCA,WCHAPEL,
WDF,WDHAMFR,
WED,WEDGORD,Replacement Bus Services at Present
WIJ,WLSDNJL,
