date,origin_station_code,destination_station_code,hour,journey_time_mean,departure_wait_time_mean,interchange_wait_time_mean,journey_time_50_pctl,journey_time_75_pctl,journey_time_95_pctl,journey_time_std,departure_wait_time_50_pctl,departure_wait_time_75_pctl,departure_wait_time_95_pctl,departure_wait_time_std,interchange_wait_time_50_pctl,interchange_wait_time_75_pctl,interchange_wait_time_95_pctl,interchange_wait_time_std,passenger_volume
2022-12-25,BSU,EDB,23,6,12.0,,,,,,,,,,,,,,15.0
2022-12-25,BSU,EKB,23,18,2.0,,,,,,,,,,,,,,4.42
2022-12-25,BSU,GBG,22,20,14.0,,,,,,,,,,,,,,4.42
2022-12-25,BSU,NEG,22,5,10.0,,,,,,,,,,,,,,4.42
2022-12-25,BSU,SFI,23,3,5.0,,,,,,,,,,,,,,4.42
2022-12-25,BSU,SOI,22,34,,,,,,,,,,,,,,,4.42
2022-12-25,EDB,BSU,23,0,-19.0,,,,,,,,,,,,,,4.42
2022-12-25,EDB,NEW,23,1,0.0,,,,,,,,,,,,,,4.42
2022-12-25,EKB,BSU,23,12,22.0,,,,,,,,,,,,,,4.42
2022-12-25,EKB,GBG,22,4,44.0,,,,,,,,,,,,,,4.42
2022-12-25,GBG,NEG,23,13,,,,,,,,,,,,,,,4.42
2022-12-25,GBG,NEW,23,6,-14.0,,,,,,,,,,,,,,4.42
2022-12-25,GBG,SOI,22,37,67.0,,,,,,,,,,,,,,4.42
2022-12-25,NEG,EKB,23,5,-17.0,,,,,,,,,,,,,,4.42
2022-12-25,NEG,GBG,22,10,10.0,,,,,,,,,,,,,,13.0
2022-12-25,NEW,EKB,22,12,20.0,,,,,,,,,,,,,,4.42
2022-12-25,NEW,GBG,22,12,29.0,,,,,,,,,,,,,,4.42
2022-12-25,NEW,GBG,23,13,-17.0,,,,,,,,,,,,,,4.42
2022-12-25,NEW,SFI,22,1,20.0,,,,,,,,,,,,,,23.0
2022-12-25,NEW,SFI,23,0,15.0,,,,,,,,,,,,,,4.42
2022-12-25,SFI,BSU,23,3,-21.0,,,,,,,,,,,,,,4.42
2022-12-25,SFI,GBG,22,13,12.0,,,,,,,,,,,,,,4.42
2022-12-25,SFI,NEW,23,1,3.0,,,,,,,,,,,,,,4.42
