StationCRS,CRS,CRS_Name,ConnectorShare
HAF,XHA,Heathrow BR,0
HWA,XHA,Heathrow BR,0
HWV,XHA,Heathrow BR,0.460000222
HXX,XHA,Heathrow BR,0.539999778
NCT,XNW,Newark BR,0.4551095
NNG,XNW,Newark BR,0.5448905
CDB,XCD,Cardiff BR,0.034439808
CDF,XCD,Cardiff BR,0.816167634
CDQ,XCD,Cardiff BR,0.149392558
FNB,XFB,Farnborough BR,0.822225626
FNN,XFB,Farnborough BR,0.177774374
FKC,XFS,Folkestone BR,0.570799568
FKW,XFS,Folkestone BR,0.429200432
WOF,XWT,Worcester BR,0.768328542
WOS,XWT,Worcester BR,0.231671458
BDI,XBF,Bradford BR,0.575256866
BDQ,XBF,Bradford BR,0.424743134
PFM,XPF,Pontefract BR,0.950996271
PFR,XPF,Pontefract BR,0.049003729
MDE,XMS,Maidstone BR,0.549436003
MDW,XMS,Maidstone BR,0.341090706
MDB,XMS,Maidstone BR,0.109473292
BFR,XLD,London BR,0.019879776
CST,XLD,London BR,0.023340994
CHX,XLD,London BR,0.052285606
EUS,XLD,London BR,0.076758226
FST,XLD,London BR,0.025905582
KGX,XLD,London BR,0.06804771
LST,XLD,London BR,0.106892123
LBG,XLD,London BR,0.110694003
MYB,XLD,London BR,0.024885835
MOG,XLD,London BR,0.011119984
PAD,XLD,London BR,0.07932675
STP,XLD,London BR,0.063124466
VIC,XLD,London BR,0.122215544
WAT,XLD,London BR,0.137667493
CTK,XLD,London BR,0.0099523
VXH,XLD,London BR,0.038719566
WAE,XLD,London BR,0.01697947
OLD,XLD,London BR,0.012204573
HLC,XHB,Helensburgh BR,0.981688493
HLU,XHB,Helensburgh BR,0.018311507
BSJ,XBD,Bedford BR,0.044561513
BDM,XBD,Bedford BR,0.955438487
WKF,XWF,Wakefield BR,0.824866162
WKK,XWF,Wakefield BR,0.175133838
BMO,XBH,Birmingham BR,0.149215801
BHM,XBH,Birmingham BR,0.772102075
BSW,XBH,Birmingham BR,0.078682124
DCH,XDC,Dorchester BR,0.828069581
DCW,XDC,Dorchester BR,0.171930419
WGN,XWG,Wigan BR,0.52038919
WGW,XWG,Wigan BR,0.47961081
GLC,XGG,Glasgow BR,0.644064994
GLQ,XGG,Glasgow BR,0.355935006
PMS,XPS,Portsmouth BR,0.494301437
PMH,XPS,Portsmouth BR,0.505698563
LVC,XLP,Liverpool BR,0.379999999
LVJ,XLP,Liverpool BR,0.080000048
LIV,XLP,Liverpool BR,0.369999948
MRF,XLP,Liverpool BR,0.170000005
PLY,XPL,Plymouth BR,1
DGT,XMC,Manchester BR,0.026752433
MCO,XMC,Manchester BR,0.128718769
MAN,XMC,Manchester BR,0.65101857
MCV,XMC,Manchester BR,0.193510228
PNE,XPN,Penge BR,0.662549622
PNW,XPN,Penge BR,0.337450378
FKG,XFK,Falkirk BR,0.441755679
FKK,XFK,Falkirk BR,0.558244321
GNB,XGB,Gainsborough BR,0.012392497
GBL,XGB,Gainsborough BR,0.987607503
HFE,XHF,Hertford BR,0.510667307
HFN,XHF,Hertford BR,0.489332693
RDG,XRD,Reading BR,0.969146261
RDW,XRD,Reading BR,0.030853739
SOC,XSE,Southend BR,0.618057617
SOV,XSE,Southend BR,0.381942383
COL,XCC,Colchester BR,0.852401927
CET,XCC,Colchester BR,0.147598073
BCS,XBS,Bicester BR,0.303180532
BIT,XBS,Bicester BR,0.696819468
WHD,XWH,West Hampstead BR,0.564814461
WHP,XWH,West Hampstead BR,0.435185539
DKG,XDK,Dorking BR,0.71856457
DPD,XDK,Dorking BR,0.246792643
DKT,XDK,Dorking BR,0.034642787
ENC,XEF,Enfield BR,0.323308278
ENF,XEF,Enfield BR,0.676691722
WBQ,XWR,Warrington BR,0.505219638
WAC,XWR,Warrington BR,0.494780362
CBW,XCB,Canterbury BR,0.699434042
CBE,XCB,Canterbury BR,0.300565958
ECR,XCN,Croydon BR,0.821664708
WCY,XCN,Croydon BR,0.178335292
TNN,XTR,Thorne BR,0.614359781
TNS,XTR,Thorne BR,0.385640219
TYL,XTD,Tyndrum BR,0.515686872
UTY,XTD,Tyndrum BR,0.484313128
EBR,XEB,Edenbridge BR,1
EBT,XEB,Edenbridge BR,0
CTF,XCF,Catford BR,0.285882294
CFB,XCF,Catford BR,0.714117706
